Date,Individual,Episode,Type,Act.Time,Behaviour,Status,RR.ms,HR,Time,Dur,1,2,3,QT
20230123,Yasha,2992,Target pole dives,40175.68,NA,NA,570,105,0,85.67,324.019,328.535,329.664,327.406
20230123,Yasha,2992,Target pole dives,40176.25,NA,NA,570,105,0.57,85.67,316.681,315.834,314.987,315.834
20230123,Yasha,2992,Target pole dives,40176.82,NA,NA,570,105,1.14,85.67,318.374,317.245,314.987,316.8686667
20230123,Yasha,2992,Target pole dives,40177.43,NA,NA,610,98,1.75,85.67,326.277,327.406,333.051,328.9113333
20230123,Yasha,2992,Target pole dives,40178.02,NA,NA,590,102,2.34,85.67,298.899,298.899,298.052,298.6166667
20230123,Yasha,2992,Target pole dives,40178.46,eats fish,POINT,NA,NA,2.34,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40178.58,NA,NA,560,107,2.9,85.67,307.367,306.52,305.673,306.52
20230123,Yasha,2992,Target pole dives,40179.19,NA,NA,610,98,3.51,85.67,291.279,290.15,292.408,291.279
20230123,Yasha,2992,Target pole dives,40179.82,NA,NA,630,95,4.14,85.67,299.746,299.746,296.359,298.617
20230123,Yasha,2992,Target pole dives,40180.49,eats fish,POINT,NA,NA,4.14,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40180.5,NA,NA,680,88,4.82,85.67,290.432,288.738,287.892,289.0206667
20230123,Yasha,2992,Target pole dives,40181.19,NA,NA,690,87,5.51,85.67,291.279,293.537,291.279,292.0316667
20230123,Yasha,2992,Target pole dives,40181.9,NA,NA,710,85,6.22,85.67,301.439,303.697,299.181,301.439
20230123,Yasha,2992,Target pole dives,40182.62,NA,NA,720,83,6.94,85.67,294.666,303.697,296.924,298.429
20230123,Yasha,2992,Target pole dives,40183.33,NA,NA,710,85,7.65,85.67,298.052,297.206,296.359,297.2056667
20230123,Yasha,2992,Target pole dives,40183.8,follows signal (command) from a trainer,POINT,NA,NA,7.65,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40184.03,NA,NA,700,86,8.35,85.67,302.286,308.213,308.213,306.2373333
20230123,Yasha,2992,Target pole dives,40184.71,NA,NA,680,88,9.03,85.67,304.826,301.439,303.98,303.415
20230123,Yasha,2992,Target pole dives,40185.41,NA,NA,700,86,9.73,85.67,309.342,310.471,309.342,309.7183333
20230123,Yasha,2992,Target pole dives,40186.16,NA,NA,750,80,10.48,85.67,311.6,309.907,312.447,311.318
20230123,Yasha,2992,Target pole dives,40186.88,NA,NA,720,83,11.2,85.67,307.367,309.907,311.6,309.6246667
20230123,Yasha,2992,Target pole dives,40187.4,follows signal (command) from a trainer,POINT,NA,NA,11.2,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40187.57,NA,NA,690,87,11.89,85.67,293.819,288.738,291.279,291.2786667
20230123,Yasha,2992,Target pole dives,40188.27,NA,NA,700,86,12.59,85.67,295.512,296.359,292.125,294.6653333
20230123,Yasha,2992,Target pole dives,40188.9,NA,NA,630,95.23809524,13.22,85.67,286.763,287.892,291.279,288.6446667
20230123,Yasha,2992,Target pole dives,40189.28,NA,NA,NA,NA,13.6,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40189.41,breath,POINT,NA,NA,13.6,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40189.47,NA,NA,NA,NA,13.79,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40189.65,NA,NA,NA,NA,13.97,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40189.83,NA,NA,NA,NA,14.15,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40190.07,haulout,STOP,NA,NA,14.15,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40190.07,underwater,START,NA,NA,14.15,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40190.22,NA,NA,NA,NA,14.54,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40190.92,NA,NA,700,86,15.24,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40191.48,stationary underwater,START,NA,NA,15.56,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40191.63,NA,NA,710,84.50704225,15.95,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40192.42,NA,NA,790,76,16.74,85.67,317.245,314.987,317.245,316.4923333
20230123,Yasha,2992,Target pole dives,40193.24,NA,NA,820,73,17.56,85.67,298.052,296.924,296.924,297.3
20230123,Yasha,2992,Target pole dives,40194.08,NA,NA,840,71,18.4,85.67,294.666,293.537,292.408,293.537
20230123,Yasha,2992,Target pole dives,40194.92,NA,NA,840,71,19.24,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40195.82,NA,NA,900,66.66666667,20.14,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40196.71,NA,NA,890,67,21.03,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40197.59,NA,NA,880,68,21.91,85.67,274.344,279.989,273.215,275.8493333
20230123,Yasha,2992,Target pole dives,40198.46,NA,NA,870,69,22.78,85.67,281.118,278.86,277.731,279.2363333
20230123,Yasha,2992,Target pole dives,40199.37,NA,NA,910,66,23.69,85.67,264.183,268.417,264.183,265.5943333
20230123,Yasha,2992,Target pole dives,40200.32,NA,NA,950,63,24.64,85.67,292.972,287.892,287.892,289.5853333
20230123,Yasha,2992,Target pole dives,40201.45,NA,NA,1130,53,25.77,85.67,290.15,294.666,296.924,293.9133333
20230123,Yasha,2992,Target pole dives,40202.41,NA,NA,NA,NA,26.73,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40202.63,NA,NA,NA,NA,26.95,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40202.79,NA,NA,NA,NA,27.11,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40203.83,NA,NA,NA,NA,28.15,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40204.91,NA,NA,1080,56,29.23,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40205.91,NA,NA,1000,60,30.23,85.67,270.11,271.804,271.804,271.2393333
20230123,Yasha,2992,Target pole dives,40206.9,NA,NA,990,61,31.22,85.67,270.11,270.11,267.57,269.2633333
20230123,Yasha,2992,Target pole dives,40207.95,NA,NA,1050,57,32.27,85.67,291.279,293.819,293.819,292.9723333
20230123,Yasha,2992,Target pole dives,40209.16,NA,NA,1210,50,33.48,85.67,292.972,292.125,291.279,292.1253333
20230123,Yasha,2992,Target pole dives,40210.43,NA,NA,1270,47,34.75,85.67,284.505,283.376,286.763,284.8813333
20230123,Yasha,2992,Target pole dives,40211.71,NA,NA,1280,47,36.03,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40212.49,NA,NA,NA,NA,36.81,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40212.64,NA,NA,NA,NA,36.96,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40214.31,NA,NA,NA,NA,38.63,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40215.72,NA,NA,1410,43,40.04,85.67,298.052,303.133,298.052,299.7456667
20230123,Yasha,2992,Target pole dives,40217.12,NA,NA,1400,43,41.44,85.67,279.424,275.191,280.271,278.2953333
20230123,Yasha,2992,Target pole dives,40218.63,NA,NA,1510,40,42.95,85.67,284.505,281.118,284.505,283.376
20230123,Yasha,2992,Target pole dives,40221.31,NA,NA,2680,22,45.63,85.67,292.408,300.31,295.795,296.171
20230123,Yasha,2992,Target pole dives,40222.55,NA,NA,1240,48,46.87,85.67,266.441,268.699,266.441,267.1936667
20230123,Yasha,2992,Target pole dives,40223.71,NA,NA,NA,NA,48.03,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40223.95,NA,NA,NA,NA,48.27,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40224.15,NA,NA,NA,NA,48.47,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40224.38,NA,NA,NA,NA,48.7,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40226.2,NA,NA,NA,NA,50.52,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40227.52,NA,NA,1320,45,51.84,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40228.74,NA,NA,1220,49,53.06,85.67,302.568,299.181,301.439,301.0626667
20230123,Yasha,2992,Target pole dives,40229.94,NA,NA,1200,50,54.26,85.67,296.924,292.408,295.795,295.0423333
20230123,Yasha,2992,Target pole dives,40231.39,NA,NA,1450,41,55.71,85.67,263.054,265.312,269.828,266.0646667
20230123,Yasha,2992,Target pole dives,40232.11,NA,NA,NA,NA,56.43,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40232.74,NA,NA,NA,NA,57.06,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40232.92,NA,NA,NA,NA,57.24,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40233.07,NA,NA,NA,NA,57.39,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40235.34,NA,NA,NA,NA,59.66,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40236.74,NA,NA,1400,43,61.06,85.67,287.892,289.021,290.15,289.021
20230123,Yasha,2992,Target pole dives,40238.16,NA,NA,1420,42,62.48,85.67,309.342,310.471,307.084,308.9656667
20230123,Yasha,2992,Target pole dives,40240.77,NA,NA,2610,23,65.09,85.67,317.245,317.245,320.632,318.374
20230123,Yasha,2992,Target pole dives,40242.26,NA,NA,1490,40.26845638,66.58,85.67,277.731,281.118,275.473,278.1073333
20230123,Yasha,2992,Target pole dives,40244.9,NA,NA,2640,22.72727273,69.22,85.67,279.989,283.376,284.505,282.6233333
20230123,Yasha,2992,Target pole dives,40246.4,NA,NA,1500,40,70.72,85.67,278.86,278.86,277.731,278.4836667
20230123,Yasha,2992,Target pole dives,40247.91,NA,NA,1510,40,72.23,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40250.23,NA,NA,2320,26,74.55,85.67,290.15,287.892,287.892,288.6446667
20230123,Yasha,2992,Target pole dives,40251.99,NA,NA,1760,34,76.31,85.67,278.577,281.964,276.884,279.1416667
20230123,Yasha,2992,Target pole dives,40254.23,NA,NA,2240,27,78.55,85.67,285.351,285.351,287.045,285.9156667
20230123,Yasha,2992,Target pole dives,40255.52,NA,NA,1290,47,79.84,85.67,276.602,274.344,276.602,275.8493333
20230123,Yasha,2992,Target pole dives,40257.34,NA,NA,1820,33,81.66,85.67,285.351,281.118,284.505,283.658
20230123,Yasha,2992,Target pole dives,40258.4,NA,NA,1660,36.14457831,83.32,85.67,283.376,285.634,282.247,283.7523333
20230123,Yasha,2992,Target pole dives,40261.18,NA,NA,2180,27.52293578,85.5,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40262.41,NA,NA,1230,49,86.73,85.67,317.245,313.858,314.987,315.3633333
20230123,Yasha,2992,Target pole dives,40263.65,NA,NA,1240,48,87.97,85.67,313.294,310.754,310.754,311.6006667
20230123,Yasha,2992,Target pole dives,40264.96,NA,NA,1310,45.80152672,89.28,85.67,300.31,299.181,298.052,299.181
20230123,Yasha,2992,Target pole dives,40266.43,NA,NA,1470,41,90.75,85.67,305.955,305.955,307.084,306.3313333
20230123,Yasha,2992,Target pole dives,40267.82,NA,NA,1390,43,92.14,85.67,294.666,298.052,299.181,297.2996667
20230123,Yasha,2992,Target pole dives,40270.21,NA,NA,2390,25,94.53,85.67,286.763,289.021,285.634,287.1393333
20230123,Yasha,2992,Target pole dives,40271.77,NA,NA,1560,38,96.09,85.67,305.673,307.367,305.673,306.2376667
20230123,Yasha,2992,Target pole dives,40273.03,NA,NA,NA,NA,97.35,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40273.18,NA,NA,NA,NA,97.5,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40273.38,NA,NA,NA,NA,97.7,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40273.72,NA,NA,NA,NA,98.04,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40274.01,NA,NA,NA,NA,98.33,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40274.3,NA,NA,NA,NA,98.62,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40274.38,stationary underwater,STOP,NA,NA,98.62,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40274.8,NA,NA,NA,NA,99.12,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40275.14,NA,NA,NA,NA,99.46,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40275.74,underwater,STOP,NA,NA,99.46,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40275.74,head above water,START,NA,NA,99.46,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40275.84,NA,NA,700,86,100.16,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40276.29,breath,POINT,NA,NA,100.16,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40276.58,NA,NA,740,81,100.9,85.67,318.374,322.608,318.374,319.7853333
20230123,Yasha,2992,Target pole dives,40277.23,NA,NA,650,92,101.55,85.67,323.455,327.688,324.301,325.148
20230123,Yasha,2992,Target pole dives,40277.89,NA,NA,660,91,102.21,85.67,339.543,341.236,342.93,341.2363333
20230123,Yasha,2992,Target pole dives,40278.5,NA,NA,610,98,102.82,85.67,325.148,327.406,326.277,326.277
20230123,Yasha,2992,Target pole dives,40279.11,NA,NA,610,98,103.43,85.67,326.277,325.148,326.277,325.9006667
20230123,Yasha,2992,Target pole dives,40279.13,breath,POINT,NA,NA,103.43,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40279.38,NA,NA,NA,NA,103.7,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40280.24,NA,NA,NA,NA,104.56,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40280.69,NA,NA,NA,NA,105.01,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40280.84,breath,POINT,NA,NA,105.01,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40280.84,NA,NA,NA,NA,105.16,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40281.8,head above water,STOP,NA,NA,105.16,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40281.8,haulout,START,NA,NA,105.16,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40283.09,NA,NA,NA,NA,107.41,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40283.66,NA,NA,570,105,107.98,85.67,328.535,328.535,329.664,328.9113333
20230123,Yasha,2992,Target pole dives,40284.22,NA,NA,560,107.1428571,108.54,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40284.77,NA,NA,550,109,109.09,85.67,338.696,342.083,342.083,340.954
20230123,Yasha,2992,Target pole dives,40285.32,NA,NA,550,109,109.64,85.67,332.769,333.616,333.616,333.3336667
20230123,Yasha,2992,Target pole dives,40285.89,NA,NA,570,105,110.21,85.67,317.528,318.374,317.528,317.81
20230123,Yasha,2992,Target pole dives,40285.89,breath,POINT,NA,NA,110.21,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40286.44,NA,NA,550,109,110.76,85.67,347.728,345.47,351.115,348.1043333
20230123,Yasha,2992,Target pole dives,40286.97,NA,NA,530,113,111.29,85.67,331.922,334.18,331.922,332.6746667
20230123,Yasha,2992,Target pole dives,40287.54,NA,NA,570,105,111.86,85.67,328.535,331.922,328.535,329.664
20230123,Yasha,2992,Target pole dives,40288.01,follows signal (command) from a trainer,POINT,NA,NA,111.86,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40288.09,NA,NA,550,109,112.41,85.67,320.632,319.503,324.019,321.3846667
20230123,Yasha,2992,Target pole dives,40288.64,NA,NA,550,109,112.96,85.67,299.181,293.537,292.408,295.042
20230123,Yasha,2992,Target pole dives,40289.17,NA,NA,530,113,113.49,85.67,318.374,319.503,325.148,321.0083333
20230123,Yasha,2992,Target pole dives,40289.73,NA,NA,560,107,114.05,85.67,303.133,306.52,303.133,304.262
20230123,Yasha,2992,Target pole dives,40290.28,NA,NA,550,109,114.6,85.67,NA,NA,NA,NA
20230123,Yasha,2992,Target pole dives,40290.66,eats fish,POINT,NA,NA,114.6,85.67,NA,NA,NA,NA